"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","check","rt","stimulus","response","question_order","url","task","delay","number","audioFile","trial_duration","font_size","block","round"
"","","","","","html-keyboard-response","213","11485908","0.0-173.0","9","1","2023-10-16 15:42:05","e9d48ac1168f4a655ba3cac2ff085c86","181.169.73.153","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36","Macintosh","Chrome","115.0.0.0","OS X","10_15_7","null","es-ES,es;q=0.9","true","null","<div style=""font-size:100px;"">X</div>","null","","","fixation","","","","","","",""
"","","","","","audio-keyboard-response","214","11486940","0.0-174.0","9","1","2023-10-16 15:42:05","e9d48ac1168f4a655ba3cac2ff085c86","181.169.73.153","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36","Macintosh","Chrome","115.0.0.0","OS X","10_15_7","null","es-ES,es;q=0.9","true","null","tones/880hz_short.mp3","null","","","tone_number_task","872","66","tones/880hz_short.mp3","1022","100","0","25"
"","","","","","html-keyboard-response","215","11487108","0.0-177.0-0.0","9","1","2023-10-16 15:42:05","e9d48ac1168f4a655ba3cac2ff085c86","181.169.73.153","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36","Macintosh","Chrome","115.0.0.0","OS X","10_15_7","null","es-ES,es;q=0.9","true","163","tones/880hz_short.mp3","s","","","empty_block","","66","","","","0","25"
"","","","","","html-keyboard-response","216","11487580","0.0-177.0-1.0","9","1","2023-10-16 15:42:05","e9d48ac1168f4a655ba3cac2ff085c86","181.169.73.153","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36","Macintosh","Chrome","115.0.0.0","OS X","10_15_7","null","es-ES,es;q=0.9","true","466","tones/880hz_short.mp3","k","","","empty_block","","66","","","","0","25"
"","","","","","html-keyboard-response","217","11490549","0.0-179.0","9","1","2023-10-16 15:42:05","e9d48ac1168f4a655ba3cac2ff085c86","181.169.73.153","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36","Macintosh","Chrome","115.0.0.0","OS X","10_15_7","null","es-ES,es;q=0.9","true","null","<div style=""font-size:100px;"">X</div>","null","","","fixation","","","","","","",""
"","","","","","audio-keyboard-response","218","11491324","0.0-180.0","9","1","2023-10-16 15:42:05","e9d48ac1168f4a655ba3cac2ff085c86","181.169.73.153","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36","Macintosh","Chrome","115.0.0.0","OS X","10_15_7","null","es-ES,es;q=0.9","true","772","tones/440hz_short.mp3","a","","","tone_number_task","959","24","tones/440hz_short.mp3","1109","100","0","26"
"","","","","","html-keyboard-response","219","11491517","0.0-181.0-0.0","9","1","2023-10-16 15:42:05","e9d48ac1168f4a655ba3cac2ff085c86","181.169.73.153","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36","Macintosh","Chrome","115.0.0.0","OS X","10_15_7","null","es-ES,es;q=0.9","true","null","","null","","","delay_block","","","","","","0","26"
"","","","","","html-keyboard-response","220","11491677","0.0-181.0-1.0","9","1","2023-10-16 15:42:05","e9d48ac1168f4a655ba3cac2ff085c86","181.169.73.153","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36","Macintosh","Chrome","115.0.0.0","OS X","10_15_7","null","es-ES,es;q=0.9","true","null","<p id=""stimulus"" style=""font-size:100px;"">24</p>","null","","","tone_number_task_remaining_before_delay","","24","","337","100","0","26"
"","","","","","html-keyboard-response","221","11492180","0.0-184.0-0.0","9","1","2023-10-16 15:42:05","e9d48ac1168f4a655ba3cac2ff085c86","181.169.73.153","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36","Macintosh","Chrome","115.0.0.0","OS X","10_15_7","null","es-ES,es;q=0.9","true","498","<p id=""stimulus"" style=""font-size:100px;"">24</p>","j","","","empty_block","","24","","","","0","26"
"","","","","","html-keyboard-response","222","11495157","0.0-185.0","9","1","2023-10-16 15:42:05","e9d48ac1168f4a655ba3cac2ff085c86","181.169.73.153","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36","Macintosh","Chrome","115.0.0.0","OS X","10_15_7","null","es-ES,es;q=0.9","true","null","<div style=""font-size:100px;"">X</div>","null","","","fixation","","","","","","",""
"","","","","","audio-keyboard-response","223","11495644","0.0-186.0","9","1","2023-10-16 15:42:05","e9d48ac1168f4a655ba3cac2ff085c86","181.169.73.153","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36","Macintosh","Chrome","115.0.0.0","OS X","10_15_7","null","es-ES,es;q=0.9","true","482","tones/880hz_short.mp3","s","","","tone_number_task","590","53","tones/880hz_short.mp3","740","100","0","27"
"","","","","","html-keyboard-response","224","11495757","0.0-187.0-0.0","9","1","2023-10-16 15:42:05","e9d48ac1168f4a655ba3cac2ff085c86","181.169.73.153","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36","Macintosh","Chrome","115.0.0.0","OS X","10_15_7","null","es-ES,es;q=0.9","true","null","","null","","","delay_block","","","","","","0","27"
"","","","","","html-keyboard-response","225","11495917","0.0-187.0-1.0","9","1","2023-10-16 15:42:05","e9d48ac1168f4a655ba3cac2ff085c86","181.169.73.153","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36","Macintosh","Chrome","115.0.0.0","OS X","10_15_7","null","es-ES,es;q=0.9","true","null","<p id=""stimulus"" style=""font-size:100px;"">53</p>","null","","","tone_number_task_remaining_before_delay","","53","","258","100","0","27"
